category,percentage,id,sampling_error,name
personality,0.9999674181731226,Openness,0.048362275839999996,Openness
personality,0.6932722614139988,Adventurousness,0.042784788399999996,Adventurousness
personality,0.7837656319563819,Artistic interests,0.08830662184,Artistic interests
personality,0.21054500799651155,Emotionality,0.03946501008,Emotionality
personality,0.571491673271096,Imagination,0.05297199144,Imagination
personality,0.999844040675297,Intellect,0.04555570136,Intellect
personality,0.9993068238215512,Liberalism,0.07073006032000001,Authority-challenging
personality,0.8091497264072426,Conscientiousness,0.06024652112,Conscientiousness
personality,0.838847645070734,Achievement striving,0.08585017584,Achievement striving
personality,0.9454407758184176,Cautiousness,0.07867057088,Cautiousness
personality,0.489798630951549,Dutifulness,0.05204155872,Dutifulness
personality,0.19765162358747457,Orderliness,0.05795347072,Orderliness
personality,0.3435694154016663,Self-discipline,0.04001650256,Self-discipline
personality,0.643949761890324,Self-efficacy,0.07674838072,Self-efficacy
personality,0.5277473347355075,Extraversion,0.045945013439999995,Extraversion
personality,0.8852168272310535,Activity level,0.06400063224,Activity level
personality,0.8026428788959071,Assertiveness,0.06887155968,Assertiveness
personality,0.00024612951788088866,Cheerfulness,0.08554711111999999,Cheerfulness
personality,0.05935722679923727,Excitement-seeking,0.07118014744,Excitement-seeking
personality,0.02186803359442402,Friendliness,0.06254772424,Outgoing
personality,0.0016763248137830478,Gregariousness,0.049910394,Gregariousness
personality,0.15863573058588415,Agreeableness,0.08294084672,Agreeableness
personality,0.4653014585243997,Altruism,0.058619396239999996,Altruism
personality,0.8057728529092747,Cooperation,0.06817669608,Cooperation
personality,0.09328165496446889,Modesty,0.045330970320000004,Modesty
personality,0.49435962634408226,Morality,0.052708878,Uncompromising
personality,0.9461583032808819,Sympathy,0.08385597888,Sympathy
personality,0.8645048701687617,Trust,0.04611842408,Trust
personality,0.8426120623751132,Neuroticism,0.07517008248,Emotional range
personality,0.48337313643160673,Anger,0.08032917624000001,Fiery
personality,0.4719815832033522,Anxiety,0.044669291359999995,Prone to worry
personality,0.8814512020522774,Depression,0.04736826192,Melancholy
personality,0.2364759114141481,Immoderation,0.045427798,Immoderation
personality,0.8616534463369907,Self-consciousness,0.046040738559999995,Self-consciousness
personality,0.47075764618160376,Vulnerability,0.06870330152,Susceptible to stress
needs,0.313347291485901,Challenge,0.06931421728,Challenge
needs,0.03083481383606912,Closeness,0.06879544984,Closeness
needs,0.9281647575399825,Curiosity,0.0959030168,Curiosity
needs,0.01938261003509223,Excitement,0.08701768832,Excitement
needs,0.004693668148148811,Harmony,0.085251044,Harmony
needs,0.12265943733230067,Ideal,0.07926721056,Ideal
needs,0.04789882788364275,Liberty,0.11717271552,Liberty
needs,0.10266974053079092,Love,0.07812492136,Love
needs,0.07172459059017827,Practicality,0.07155754856,Practicality
needs,0.03584564558440623,Self-expression,0.06747444024,Self-expression
needs,0.022330657711086332,Stability,0.0866146468,Stability
needs,0.36212759679865847,Structure,0.0657663392,Structure
values,0.0013860407874565772,Conservation,0.060928438,Conservation
values,0.4888390359954114,Openness to change,0.0548595704,Openness to change
values,0.009698061053330875,Hedonism,0.1089671728,Hedonism
values,0.09826273821879705,Self-enhancement,0.08360051255999999,Self-enhancement
values,0.11521814744291337,Self-transcendence,0.061409275039999996,Self-transcendence
