category,percentage,id,sampling_error,name
personality,0.9556172091436411,Openness,0.05251015628,Openness
personality,0.8692895422348994,Adventurousness,0.04600283968,Adventurousness
personality,0.460854722769113,Artistic interests,0.09415854608,Artistic interests
personality,0.044619602266749436,Emotionality,0.04380056796,Emotionality
personality,0.12562355546343995,Imagination,0.0569263896,Imagination
personality,0.991009020223506,Intellect,0.049674334839999994,Intellect
personality,0.9876439697437424,Liberalism,0.07553467044,Authority-challenging
personality,0.7441303940618986,Conscientiousness,0.06744763631999999,Conscientiousness
personality,0.9435100537196421,Achievement striving,0.08961553132,Achievement striving
personality,0.9732797017948499,Cautiousness,0.08308816188,Cautiousness
personality,0.7025037495057319,Dutifulness,0.054381129679999994,Dutifulness
personality,0.17651800841194348,Orderliness,0.06291579963999999,Orderliness
personality,0.7715453410091802,Self-discipline,0.04222504512,Self-discipline
personality,0.9832356533696176,Self-efficacy,0.08235780436,Self-efficacy
personality,0.5573531357153686,Extraversion,0.05012595716,Extraversion
personality,0.9858811294634613,Activity level,0.06964056344,Activity level
personality,0.9988876415998824,Assertiveness,0.07447585840000001,Assertiveness
personality,0.0803516933721159,Cheerfulness,0.09308151256,Cheerfulness
personality,0.24959110961276731,Excitement-seeking,0.07531229403999999,Excitement-seeking
personality,0.5351526535349567,Friendliness,0.06760580735999999,Outgoing
personality,0.22119717108267795,Gregariousness,0.052416320999999995,Gregariousness
personality,0.11797102071680382,Agreeableness,0.08784904707999999,Agreeableness
personality,0.7237686411212076,Altruism,0.06329867908,Altruism
personality,0.6326129056663443,Cooperation,0.07265339388,Cooperation
personality,0.0576897850668181,Modesty,0.04910875312,Modesty
personality,0.27362891448709636,Morality,0.056622994,Uncompromising
personality,0.9271472230543122,Sympathy,0.08765684416,Sympathy
personality,0.9746666502654777,Trust,0.04851957164,Trust
personality,0.8856663614135085,Neuroticism,0.07965063264,Emotional range
personality,0.11016528827735095,Anger,0.08401045623999999,Fiery
personality,0.15582152215815753,Anxiety,0.0488711116,Prone to worry
personality,0.3759802626852311,Depression,0.05131012824,Melancholy
personality,0.02942106179128462,Immoderation,0.04788957876,Immoderation
personality,0.21455434670282036,Self-consciousness,0.050175653,Self-consciousness
personality,0.11465523687962187,Vulnerability,0.07575749223999999,Susceptible to stress
needs,0.3289626801146176,Challenge,0.0749784892,Challenge
needs,0.13479239660678577,Closeness,0.07411107404,Closeness
needs,0.690155247264834,Curiosity,0.10646054232,Curiosity
needs,0.09496126774939406,Excitement,0.09593682408000001,Excitement
needs,0.0058485074347275345,Harmony,0.09599453092,Harmony
needs,0.03497114944350865,Ideal,0.08591374432,Ideal
needs,0.06522820223394771,Liberty,0.12844529312,Liberty
needs,0.21046815443660255,Love,0.08786432412,Love
needs,0.10131164159825756,Practicality,0.0769468076,Practicality
needs,0.002497238303546645,Self-expression,0.07262442772,Self-expression
needs,0.39946625441041894,Stability,0.09441176304,Stability
needs,0.794716916926621,Structure,0.07068781932,Structure
values,0.08911550995916251,Conservation,0.062213712840000004,Conservation
values,0.5549235909794293,Openness to change,0.05758321008,Openness to change
values,0.007748027654110701,Hedonism,0.11869996664,Hedonism
values,0.15208756377012211,Self-enhancement,0.09135045124,Self-enhancement
values,0.04780450693338428,Self-transcendence,0.06849890832,Self-transcendence
